id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,own_goals
27,3,9.0,2.0,4.0,,3.0,2.0,2.0,,,
280,3,15.0,4.0,5.0,,5.0,5.0,1.0,,1.0,1.0
488,3,35.0,11.0,12.0,9.0,6.0,17.0,10.0,3.0,,
13,3,39.0,12.0,10.0,1.0,16.0,13.0,,4.0,,
696,3,29.0,8.0,8.0,5.0,11.0,10.0,8.0,1.0,,
188,3,,,,,,,,,,
229,3,28.0,11.0,9.0,,5.0,14.0,1.0,3.0,,
528,3,26.0,6.0,13.0,2.0,6.0,7.0,6.0,1.0,,
956,3,1.0,0.0,,,1.0,,,,,
668,3,,,,,,,,,,
711,3,1.0,0.0,1.0,,,,,,,
538,3,32.0,7.0,10.0,9.0,13.0,9.0,5.0,1.0,,
962,3,13.0,0.0,3.0,4.0,5.0,5.0,1.0,1.0,,
903,3,39.0,3.0,10.0,5.0,24.0,5.0,6.0,2.0,,
212,3,7.0,0.0,3.0,,2.0,2.0,1.0,,,
979,3,5.0,1.0,1.0,,3.0,1.0,,,,
873,3,16.0,1.0,6.0,1.0,9.0,1.0,1.0,2.0,,
338,3,31.0,11.0,10.0,13.0,9.0,12.0,3.0,6.0,,
598,3,9.0,1.0,2.0,,3.0,4.0,,3.0,,
389,3,30.0,4.0,8.0,9.0,10.0,12.0,6.0,3.0,,
35,3,39.0,11.0,15.0,3.0,14.0,10.0,7.0,,,
384,3,26.0,5.0,8.0,2.0,10.0,8.0,,3.0,,
988,3,11.0,3.0,2.0,,4.0,5.0,1.0,,,
669,3,,,,,,,,,,
290,3,14.0,2.0,4.0,,4.0,6.0,3.0,,1.0,
596,3,36.0,11.0,10.0,1.0,13.0,13.0,7.0,4.0,,
234,3,5.0,1.0,,,2.0,3.0,,,,
49,3,,,,,,,,,,
192,3,26.0,7.0,10.0,,8.0,8.0,10.0,,,
689,3,1.0,0.0,,,1.0,,,,,
959,3,17.0,3.0,7.0,5.0,5.0,5.0,1.0,1.0,,
783,3,,,,,,,,,,
45,3,,,,,,,,,,
16,3,3.0,0.0,2.0,,1.0,,,,,
859,3,2.0,1.0,1.0,,,1.0,,,,
551,3,31.0,5.0,10.0,,10.0,11.0,6.0,4.0,,
462,3,37.0,5.0,9.0,24.0,15.0,13.0,6.0,9.0,1.0,
300,3,37.0,8.0,9.0,5.0,16.0,12.0,6.0,4.0,,
877,3,23.0,8.0,10.0,7.0,6.0,7.0,2.0,2.0,2.0,
519,3,39.0,16.0,8.0,,6.0,25.0,,1.0,1.0,1.0
133,3,32.0,11.0,11.0,4.0,12.0,9.0,1.0,1.0,,
695,3,,,,,,,,,,
887,3,,,,,,,,,,
277,3,42.0,16.0,11.0,25.0,10.0,21.0,4.0,6.0,,
951,3,37.0,7.0,7.0,10.0,14.0,16.0,1.0,10.0,,
591,3,17.0,3.0,4.0,,8.0,5.0,3.0,,,
786,3,15.0,6.0,3.0,,1.0,11.0,1.0,,,
247,3,,,,,,,,,,
335,3,29.0,14.0,7.0,1.0,5.0,17.0,3.0,11.0,,
200,3,36.0,2.0,5.0,,25.0,6.0,1.0,,,
919,3,20.0,3.0,7.0,3.0,10.0,3.0,,1.0,,
983,3,5.0,0.0,3.0,,2.0,,3.0,3.0,,
715,3,14.0,2.0,2.0,2.0,4.0,8.0,3.0,1.0,,
