id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
14,8,27.0,6.0,5.0,1.0,,8.0,1.0,14.0,5.0,
1627,8,3.0,1.0,,,,1.0,,2.0,,
1539,8,4.0,1.0,1.0,,,2.0,,1.0,1.0,
1049,8,36.0,11.0,6.0,10.0,4.0,11.0,,19.0,6.0,
1683,8,,,,,,,,,,
1667,8,24.0,3.0,5.0,,,12.0,,7.0,3.0,
1249,8,23.0,6.0,4.0,6.0,3.0,11.0,1.0,8.0,7.0,
1058,8,17.0,0.0,7.0,1.0,6.0,6.0,,4.0,2.0,
928,8,10.0,0.0,4.0,,,3.0,,3.0,,
694,8,31.0,9.0,3.0,,,9.0,,19.0,6.0,
1789,8,18.0,4.0,2.0,1.0,2.0,12.0,,4.0,4.0,
800,8,34.0,9.0,9.0,7.0,3.0,10.0,,15.0,4.0,
1204,8,,,,,,,,,,
70,8,8.0,2.0,1.0,,2.0,3.0,,4.0,3.0,
1652,8,1.0,0.0,,,,1.0,,,,
1359,8,,,,,,,,,,
533,8,18.0,1.0,3.0,3.0,5.0,11.0,,4.0,3.0,
1730,8,1.0,0.0,1.0,,,,,,,
973,8,22.0,4.0,5.0,4.0,1.0,6.0,,11.0,3.0,
1477,8,18.0,0.0,5.0,,,10.0,,3.0,,
1497,8,26.0,4.0,5.0,6.0,2.0,8.0,1.0,13.0,2.0,
1645,8,9.0,1.0,1.0,,,6.0,,2.0,1.0,
293,8,25.0,6.0,5.0,1.0,4.0,10.0,1.0,10.0,5.0,
1698,8,36.0,8.0,10.0,1.0,4.0,18.0,,8.0,13.0,
807,8,28.0,3.0,8.0,,4.0,14.0,,6.0,4.0,
1148,8,28.0,14.0,7.0,2.0,,6.0,2.0,15.0,7.0,
1453,8,,,,,,,,,,
225,8,,,,,,,,,,
1827,8,7.0,1.0,1.0,,,4.0,,2.0,,
909,8,33.0,7.0,12.0,6.0,5.0,7.0,,14.0,,
1468,8,12.0,0.0,2.0,,,5.0,,5.0,,
1763,8,1.0,0.0,,,,1.0,,,,
1352,8,15.0,5.0,2.0,2.0,,6.0,,7.0,3.0,
1502,8,31.0,4.0,5.0,12.0,4.0,6.0,,20.0,2.0,
1636,8,23.0,4.0,6.0,,1.0,9.0,,8.0,4.0,
1810,8,12.0,0.0,1.0,2.0,1.0,10.0,,1.0,1.0,
1169,8,36.0,10.0,11.0,1.0,,17.0,,8.0,5.0,
1650,8,21.0,4.0,5.0,,1.0,4.0,1.0,12.0,2.0,
905,8,23.0,2.0,5.0,3.0,,13.0,,5.0,3.0,
1246,8,27.0,7.0,4.0,,2.0,14.0,1.0,9.0,3.0,1.0
721,8,30.0,10.0,9.0,,1.0,8.0,,13.0,5.0,
1296,8,15.0,5.0,2.0,,,4.0,,9.0,,
75289,8,,,,,,,,,,
1306,8,16.0,1.0,3.0,1.0,1.0,7.0,1.0,6.0,1.0,
915,8,36.0,13.0,10.0,,,8.0,,18.0,4.0,2.0
1199,8,31.0,8.0,5.0,1.0,6.0,10.0,1.0,16.0,7.0,
