id,year_id,appearances,clean_sheet,losses,wins,draws,goals,yellow_card,goal_assist,own_goals,red_card
1835,13,33.0,10.0,4.0,21.0,8.0,14.0,2.0,4.0,,
2541,13,35.0,5.0,17.0,9.0,9.0,1.0,2.0,,,
2506,13,2.0,0.0,1.0,1.0,,,,,,
2181,13,22.0,2.0,11.0,1.0,10.0,,2.0,,2.0,1.0
2629,13,,,,,,,,,,
2515,13,,,,,,,,,,
2545,13,,,,,,,,,,
2670,13,23.0,5.0,10.0,4.0,9.0,,4.0,1.0,2.0,
1168,13,,,,,,,,,,
2471,13,,,,,,,,,,
1607,13,23.0,4.0,12.0,2.0,9.0,1.0,6.0,2.0,1.0,1.0
2167,13,3.0,0.0,3.0,,,,1.0,,,
1092,13,32.0,6.0,13.0,10.0,9.0,1.0,3.0,2.0,,
2120,13,31.0,9.0,11.0,11.0,9.0,5.0,6.0,4.0,1.0,1.0
2532,13,4.0,1.0,2.0,,2.0,,,,,
1715,13,,,,,,,,,,
2468,13,17.0,3.0,8.0,6.0,3.0,,4.0,,,
2138,13,17.0,5.0,5.0,6.0,6.0,2.0,,1.0,,
2305,13,,,,,,,,,,
2066,13,35.0,2.0,17.0,11.0,7.0,6.0,1.0,4.0,,
262,13,30.0,6.0,10.0,11.0,9.0,,10.0,3.0,,
2435,13,28.0,8.0,9.0,8.0,11.0,2.0,3.0,4.0,,
2748,13,18.0,4.0,7.0,4.0,7.0,1.0,,1.0,,
2715,13,1.0,0.0,1.0,,,,,,,
2415,13,30.0,5.0,4.0,20.0,6.0,9.0,3.0,10.0,,
1748,13,,,,,,,,,,
2216,13,,,,,,,,,,
1982,13,14.0,1.0,4.0,5.0,5.0,3.0,2.0,1.0,,
2680,13,32.0,5.0,17.0,5.0,10.0,4.0,3.0,4.0,,
2699,13,,,,,,,,,,
2447,13,7.0,0.0,5.0,,2.0,,1.0,,,
2649,13,,,,,,,,,,
2110,13,37.0,4.0,14.0,17.0,6.0,6.0,2.0,7.0,,
2708,13,,,,,,,,,,
2013,13,15.0,2.0,7.0,5.0,3.0,,3.0,,,1.0
2126,13,31.0,3.0,13.0,7.0,11.0,3.0,4.0,5.0,,
1695,13,21.0,5.0,6.0,9.0,6.0,2.0,3.0,,,
2453,13,,,,,,,,,,
2790,13,4.0,0.0,2.0,2.0,,,,,,
2658,13,18.0,4.0,,16.0,2.0,7.0,5.0,9.0,,
2653,13,25.0,12.0,1.0,18.0,6.0,1.0,2.0,,,
1404,13,36.0,12.0,13.0,14.0,9.0,,,1.0,,
2781,13,,,,,,,,,,
2464,13,17.0,2.0,7.0,4.0,6.0,,3.0,1.0,1.0,1.0
