id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,own_goals,red_card
497,5,28.0,13.0,9.0,,12.0,7.0,10.0,,,1.0
94,5,1.0,0.0,,,1.0,,,,,
152,5,8.0,0.0,3.0,,5.0,,3.0,,,
1238,5,12.0,0.0,3.0,1.0,4.0,5.0,1.0,,,
1229,5,,,,,,,,,,
1176,5,,,,,,,,,,
923,5,,,,,,,,,,
686,5,28.0,8.0,9.0,,10.0,9.0,4.0,1.0,,
193,5,3.0,1.0,,,2.0,1.0,,,,
1002,5,,,,,,,,,,
1216,5,16.0,2.0,6.0,3.0,3.0,7.0,2.0,,,
1284,5,1.0,0.0,,,1.0,,,,,
940,5,,,,,,,,,,
927,5,2.0,0.0,,,1.0,1.0,,,,
547,5,,,,,,,,,,
999,5,5.0,1.0,3.0,,2.0,,,1.0,,
1020,5,22.0,3.0,5.0,,9.0,8.0,4.0,1.0,,
279,5,10.0,4.0,4.0,,4.0,2.0,,,,
1065,5,,,,,,,,,,
394,5,33.0,6.0,13.0,,15.0,5.0,1.0,,,
972,5,36.0,11.0,10.0,,11.0,15.0,6.0,2.0,,
1163,5,36.0,5.0,12.0,3.0,13.0,11.0,5.0,3.0,,1.0
1031,5,20.0,5.0,8.0,1.0,8.0,4.0,3.0,1.0,,1.0
40,5,31.0,4.0,8.0,,15.0,8.0,8.0,2.0,2.0,
1224,5,,,,,,,,,,
1149,5,34.0,7.0,10.0,7.0,9.0,15.0,8.0,1.0,,
1110,5,,,,,,,,,,
333,5,,,,,,,,,,
693,5,10.0,0.0,1.0,1.0,5.0,4.0,2.0,,,
956,5,5.0,0.0,3.0,2.0,1.0,1.0,,,,
696,5,31.0,7.0,9.0,6.0,14.0,8.0,6.0,2.0,,
13,5,32.0,12.0,9.0,2.0,6.0,17.0,8.0,2.0,,
1140,5,21.0,1.0,5.0,2.0,10.0,6.0,,2.0,,
1291,5,1.0,0.0,,,1.0,,,,,
1207,5,,,,,,,,,,
27,5,1.0,0.0,,,,1.0,,,,
1130,5,,,,,,,,,,
91,5,14.0,2.0,1.0,,10.0,3.0,,,,
903,5,29.0,12.0,8.0,,8.0,13.0,2.0,6.0,,1.0
54,5,,,,,,,,,,
528,5,23.0,4.0,8.0,1.0,10.0,5.0,2.0,1.0,,1.0
627,5,30.0,4.0,10.0,12.0,7.0,13.0,3.0,4.0,,
538,5,23.0,3.0,5.0,,10.0,8.0,2.0,3.0,,
669,5,15.0,2.0,6.0,1.0,4.0,5.0,4.0,,1.0,
1245,5,29.0,6.0,8.0,1.0,13.0,8.0,5.0,,1.0,
229,5,18.0,6.0,9.0,,6.0,3.0,3.0,1.0,,
1004,5,1.0,0.0,,,1.0,,,,,
212,5,17.0,4.0,4.0,2.0,8.0,5.0,2.0,,,
1262,5,,,,,,,,,,
1184,5,7.0,1.0,2.0,,4.0,1.0,2.0,,,
598,5,32.0,8.0,11.0,7.0,9.0,12.0,2.0,3.0,,
411,5,13.0,4.0,4.0,1.0,4.0,5.0,1.0,1.0,,
338,5,34.0,7.0,13.0,13.0,13.0,8.0,3.0,2.0,,2.0
962,5,7.0,0.0,2.0,,4.0,1.0,,,,
488,5,28.0,15.0,12.0,5.0,8.0,8.0,3.0,4.0,,
551,5,24.0,8.0,4.0,,12.0,8.0,11.0,,,
192,5,7.0,2.0,1.0,,3.0,3.0,2.0,1.0,,
1105,5,4.0,0.0,1.0,,3.0,,,,,
57,5,13.0,0.0,4.0,1.0,7.0,2.0,3.0,2.0,,
592,5,17.0,3.0,6.0,,5.0,6.0,4.0,,,
877,5,33.0,8.0,11.0,10.0,16.0,6.0,5.0,5.0,,1.0
462,5,31.0,8.0,7.0,16.0,7.0,17.0,3.0,8.0,,
1222,5,13.0,3.0,6.0,1.0,2.0,5.0,6.0,,,
1108,5,,,,,,,,,,
89,5,31.0,11.0,9.0,25.0,5.0,17.0,5.0,7.0,,
1086,5,4.0,1.0,3.0,,1.0,,,,,
859,5,1.0,0.0,1.0,,,,,,,
349,5,30.0,6.0,12.0,,10.0,8.0,4.0,2.0,,
773,5,5.0,1.0,1.0,1.0,3.0,1.0,,,,
200,5,3.0,1.0,,,1.0,2.0,,,,
519,5,36.0,10.0,14.0,,13.0,9.0,2.0,,,
133,5,17.0,1.0,6.0,1.0,7.0,4.0,3.0,1.0,,
277,5,32.0,10.0,9.0,18.0,6.0,17.0,3.0,4.0,,1.0
887,5,,,,,,,,,,
300,5,28.0,5.0,11.0,3.0,11.0,6.0,,,,
695,5,16.0,3.0,3.0,1.0,8.0,5.0,4.0,,,
87,5,34.0,8.0,15.0,10.0,10.0,9.0,5.0,4.0,,
1129,5,11.0,2.0,3.0,,3.0,5.0,2.0,1.0,,
1220,5,,,,,,,,,,
1083,5,24.0,3.0,6.0,1.0,7.0,11.0,4.0,4.0,,
401,5,24.0,2.0,11.0,,9.0,4.0,7.0,2.0,,
