id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
1407,11,13.0,0.0,2.0,,1.0,8.0,3.0,1.0,,
1907,11,4.0,0.0,,,,3.0,1.0,,,
1506,11,,,,,,,,,,
2286,11,3.0,0.0,2.0,,,2.0,,,,
2,11,,,,,,,,,,
2206,11,21.0,4.0,8.0,,,6.0,7.0,6.0,,
1254,11,26.0,7.0,5.0,,,12.0,9.0,6.0,,
2012,11,38.0,9.0,9.0,1.0,1.0,17.0,12.0,1.0,,
1677,11,34.0,12.0,10.0,,2.0,8.0,16.0,4.0,,
2292,11,4.0,0.0,,,,3.0,1.0,1.0,,
1703,11,,,,,,,,,,
2100,11,18.0,1.0,2.0,2.0,,10.0,6.0,,,
768,11,7.0,0.0,3.0,,,4.0,,1.0,,
2379,11,,,,,,,,,,
2243,11,,,,,,,,,,
1620,11,1.0,0.0,,,,1.0,,,,
2362,11,,,,,,,,,,
855,11,12.0,3.0,3.0,,,6.0,3.0,3.0,,
1027,11,25.0,9.0,5.0,,1.0,6.0,14.0,3.0,,
2366,11,,,,,,,,,,
2404,11,,,,,,,,,,
363,11,6.0,0.0,1.0,,,4.0,1.0,1.0,,
1842,11,13.0,0.0,4.0,1.0,,5.0,4.0,1.0,,
1423,11,36.0,10.0,10.0,7.0,7.0,9.0,17.0,7.0,,
2011,11,,,,,,,,,,
1944,11,,,,,,,,,,
1795,11,1.0,0.0,,,,1.0,,,,
2032,11,23.0,7.0,8.0,1.0,,7.0,8.0,3.0,,1.0
1384,11,28.0,2.0,8.0,6.0,1.0,11.0,9.0,6.0,,
1396,11,2.0,0.0,1.0,,,1.0,,,,
1367,11,9.0,1.0,1.0,,,5.0,3.0,,,
2298,11,,,,,,,,,,
2018,11,34.0,12.0,11.0,,2.0,8.0,15.0,8.0,,1.0
2043,11,,,,,,,,,,
2177,11,27.0,5.0,7.0,,,12.0,8.0,,,
2087,11,10.0,0.0,2.0,,,4.0,4.0,,,
2271,11,,,,,,,,,,
1316,11,,,,,,,,,,
1595,11,30.0,11.0,5.0,2.0,2.0,8.0,17.0,7.0,,
1882,11,28.0,3.0,8.0,1.0,2.0,7.0,13.0,2.0,,1.0
709,11,,,,,,,,,,
1045,11,27.0,7.0,3.0,3.0,3.0,12.0,12.0,3.0,,
1413,11,36.0,7.0,10.0,11.0,7.0,9.0,17.0,4.0,1.0,
2085,11,14.0,1.0,3.0,1.0,2.0,5.0,6.0,4.0,,
1927,11,,,,,,,,,,
1335,11,19.0,6.0,9.0,,,4.0,6.0,3.0,,
1573,11,,,,,,,,,,
1147,11,11.0,3.0,2.0,1.0,,4.0,5.0,2.0,,
2244,11,2.0,0.0,2.0,,,,,,,
848,11,27.0,3.0,6.0,4.0,2.0,13.0,8.0,7.0,,
1659,11,37.0,8.0,8.0,24.0,20.0,6.0,23.0,8.0,,
2123,11,28.0,0.0,7.0,7.0,1.0,12.0,9.0,,,
908,11,32.0,8.0,9.0,6.0,3.0,8.0,15.0,3.0,,
365,11,3.0,0.0,2.0,1.0,,,1.0,,,
75,11,,,,,,,,,,
2142,11,,,,,,,,,,
1881,11,24.0,8.0,4.0,,1.0,9.0,11.0,4.0,,
2010,11,,,,,,,,,,
1840,11,26.0,3.0,7.0,2.0,3.0,10.0,9.0,3.0,,
603,11,9.0,0.0,2.0,,1.0,6.0,1.0,2.0,,
1898,11,,,,,,,,,,
890,11,37.0,6.0,8.0,,,23.0,6.0,,1.0,1.0
1426,11,9.0,0.0,3.0,,,4.0,2.0,,,
2163,11,1.0,0.0,,,,,1.0,,,
1371,11,,,,,,,,,,
714,11,24.0,6.0,4.0,2.0,,10.0,10.0,1.0,,
2074,11,,,,,,,,,,
767,11,30.0,5.0,4.0,,3.0,13.0,13.0,4.0,,
2325,11,23.0,0.0,3.0,2.0,5.0,8.0,12.0,4.0,,
2031,11,,,,,,,,,,
2178,11,1.0,0.0,,,,1.0,,,,
2187,11,22.0,1.0,7.0,2.0,1.0,6.0,9.0,3.0,,
2196,11,31.0,2.0,7.0,5.0,2.0,12.0,12.0,1.0,,1.0
1082,11,16.0,1.0,2.0,1.0,,9.0,5.0,,,
272,11,10.0,0.0,5.0,,,1.0,4.0,,,
2005,11,19.0,1.0,4.0,2.0,2.0,8.0,7.0,,,
1750,11,,,,,,,,,,
1277,11,19.0,0.0,4.0,1.0,3.0,8.0,7.0,,,
1838,11,,,,,,,,,,
1710,11,36.0,14.0,10.0,3.0,2.0,9.0,17.0,,,1.0
1342,11,38.0,10.0,14.0,,,14.0,10.0,2.0,,
2208,11,31.0,8.0,12.0,2.0,1.0,11.0,8.0,12.0,,1.0
960,11,16.0,5.0,2.0,,,7.0,7.0,1.0,,
2199,11,9.0,0.0,3.0,,,3.0,3.0,2.0,,
1773,11,,,,,,,,,,
2017,11,30.0,7.0,9.0,,,8.0,13.0,7.0,,
2170,11,,,,,,,,,,
1952,11,28.0,3.0,5.0,4.0,4.0,14.0,9.0,1.0,,
2127,11,32.0,10.0,5.0,6.0,2.0,9.0,18.0,1.0,,
2345,11,,,,,,,,,,
1381,11,7.0,0.0,2.0,,,2.0,3.0,,,
1210,11,26.0,3.0,6.0,,,11.0,9.0,2.0,,
2193,11,30.0,2.0,7.0,5.0,5.0,13.0,10.0,2.0,,
