id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
1189,9,21.0,3.0,5.0,1.0,,12.0,4.0,4.0,,
1703,9,,,,,,,,,,
1684,9,,,,,,,,,,
1027,9,21.0,1.0,7.0,,,6.0,8.0,5.0,,
1961,9,,,,,,,,,,
666,9,3.0,0.0,2.0,,,1.0,,1.0,,
1423,9,27.0,2.0,6.0,4.0,3.0,8.0,13.0,1.0,,1.0
1907,9,,,,,,,,,,
363,9,25.0,3.0,11.0,,1.0,8.0,6.0,2.0,,
1551,9,14.0,0.0,4.0,,,6.0,4.0,1.0,,
102,9,20.0,3.0,6.0,1.0,,9.0,5.0,2.0,,
1396,9,6.0,1.0,2.0,,,3.0,1.0,,,
1944,9,,,,,,,,,,
1897,9,13.0,1.0,3.0,1.0,3.0,3.0,7.0,,,
1923,9,,,,,,,,,,
1882,9,20.0,2.0,5.0,2.0,1.0,10.0,5.0,3.0,1.0,
1519,9,10.0,0.0,3.0,,1.0,4.0,3.0,,,
1029,9,,,,,,,,,,
1367,9,6.0,1.0,1.0,,,3.0,2.0,,,
1987,9,3.0,0.0,1.0,1.0,,1.0,1.0,,,
1419,9,,,,,,,,,,
1654,9,,,,,,,,,,
1927,9,31.0,6.0,9.0,,,16.0,6.0,2.0,,
1689,9,,,,,,,,,,
953,9,21.0,2.0,6.0,,,12.0,3.0,,,
1214,9,,,,,,,,,,
1664,9,27.0,5.0,8.0,1.0,,13.0,6.0,1.0,,
1884,9,22.0,4.0,4.0,1.0,,13.0,5.0,6.0,,1.0
1576,9,,,,,,,,,,
1233,9,4.0,0.0,1.0,,,2.0,1.0,1.0,,
1717,9,,,,,,,,,,
931,9,15.0,2.0,7.0,,1.0,3.0,5.0,4.0,,1.0
1693,9,6.0,3.0,2.0,,,1.0,3.0,,,
1226,9,,,,,,,,,,
958,9,35.0,12.0,9.0,1.0,,14.0,12.0,1.0,,
1208,9,28.0,3.0,6.0,16.0,3.0,7.0,15.0,,,
320,9,8.0,0.0,2.0,,2.0,5.0,1.0,,,
1250,9,4.0,0.0,1.0,,,3.0,,,,
497,9,15.0,1.0,3.0,,,8.0,4.0,4.0,,1.0
1950,9,24.0,5.0,11.0,,1.0,5.0,8.0,6.0,,
1989,9,8.0,1.0,4.0,,,3.0,1.0,4.0,,
1623,9,31.0,6.0,7.0,9.0,6.0,12.0,12.0,1.0,,
1865,9,,,,,,,,,,
1887,9,,,,,,,,,,
1922,9,,,,,,,,,,
1401,9,8.0,0.0,2.0,,,5.0,1.0,,,1.0
19,9,33.0,11.0,10.0,4.0,1.0,8.0,15.0,4.0,,
1096,9,21.0,2.0,4.0,,,10.0,7.0,3.0,,
1948,9,,,,,,,,,,
1518,9,20.0,2.0,5.0,1.0,,8.0,7.0,5.0,,
587,9,32.0,7.0,9.0,1.0,,11.0,12.0,3.0,,
448,9,,,,,,,,,,
1495,9,,,,,,,,,,
1768,9,34.0,9.0,11.0,14.0,4.0,10.0,13.0,10.0,,
954,9,26.0,3.0,7.0,3.0,2.0,13.0,6.0,1.0,,
1187,9,4.0,0.0,,,,3.0,1.0,,,
1914,9,,,,,,,,,,
96,9,15.0,2.0,3.0,1.0,,7.0,5.0,,1.0,
1433,9,7.0,0.0,,,,5.0,2.0,2.0,,1.0
732,9,21.0,3.0,4.0,1.0,,12.0,5.0,3.0,,
1168,9,33.0,11.0,8.0,,2.0,13.0,12.0,1.0,,
1161,9,33.0,10.0,10.0,,,16.0,7.0,,,
1769,9,,,,,,,,,,
1774,9,5.0,0.0,,,,3.0,2.0,,,
1859,9,,,,,,,,,,
1767,9,2.0,0.0,,,,1.0,1.0,,,
921,9,29.0,9.0,6.0,1.0,,4.0,19.0,4.0,,
1134,9,1.0,0.0,,,,,1.0,,,
1715,9,1.0,1.0,,,,,1.0,,,
1835,9,33.0,7.0,8.0,4.0,7.0,8.0,17.0,1.0,,
785,9,8.0,0.0,2.0,,,1.0,5.0,,,
1523,9,8.0,0.0,,1.0,,4.0,4.0,,,
1540,9,25.0,5.0,7.0,,1.0,13.0,5.0,4.0,,
1420,9,,,,,,,,,,
262,9,,,,,,,,,,
1628,9,21.0,6.0,6.0,,,8.0,7.0,4.0,,
46,9,,,,,,,,,,
1978,9,29.0,8.0,8.0,9.0,4.0,9.0,12.0,1.0,,
886,9,20.0,6.0,7.0,,,5.0,8.0,7.0,,1.0
1182,9,,,,,,,,,,
1901,9,26.0,1.0,4.0,6.0,2.0,10.0,12.0,1.0,,
87,9,19.0,1.0,6.0,2.0,,7.0,6.0,,,
1355,9,30.0,2.0,6.0,11.0,7.0,9.0,15.0,3.0,,
1259,9,18.0,7.0,4.0,2.0,3.0,4.0,10.0,2.0,,1.0
1804,9,,,,,,,,,,
1083,9,27.0,1.0,10.0,3.0,4.0,8.0,9.0,7.0,,
1660,9,,,,,,,,,,
401,9,28.0,2.0,5.0,2.0,1.0,15.0,8.0,7.0,,
1739,9,1.0,0.0,1.0,,,,,,,
1593,9,14.0,2.0,3.0,3.0,,5.0,6.0,2.0,,
1220,9,14.0,4.0,5.0,,,5.0,4.0,4.0,,
1462,9,3.0,0.0,1.0,,,1.0,1.0,,,
1671,9,5.0,0.0,2.0,,,2.0,1.0,,,
321,9,32.0,13.0,8.0,1.0,1.0,3.0,21.0,4.0,,
416,9,32.0,5.0,7.0,,,15.0,10.0,2.0,,
1536,9,,,,,,,,,,
851,9,34.0,7.0,8.0,,,14.0,12.0,1.0,,
