id,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
692,2,22.0,7.0,6.0,3.0,9.0,,7.0,,,
337,2,26.0,3.0,10.0,1.0,4.0,,12.0,,1.0,
728,2,16.0,0.0,2.0,3.0,5.0,,9.0,,1.0,
718,2,1.0,1.0,,,,,1.0,,,
738,2,20.0,3.0,7.0,4.0,7.0,,6.0,,3.0,
421,2,3.0,0.0,,,1.0,,2.0,1.0,,
58,2,7.0,0.0,5.0,,2.0,,,1.0,,
602,2,,,,,,,,,,
37,2,30.0,7.0,9.0,,10.0,1.0,11.0,2.0,1.0,
459,2,14.0,3.0,5.0,1.0,5.0,,4.0,,,
294,2,35.0,11.0,16.0,,11.0,,8.0,4.0,3.0,
156,2,26.0,13.0,10.0,,5.0,,11.0,1.0,3.0,
5,2,,,,,,,,,,
340,2,1.0,0.0,1.0,,,,,,,
522,2,35.0,6.0,6.0,4.0,19.0,1.0,10.0,5.0,,
2,2,4.0,1.0,1.0,,2.0,,1.0,,,
64,2,13.0,5.0,5.0,,2.0,,6.0,,,
314,2,,,,,,,,,,
782,2,42.0,14.0,13.0,,16.0,,13.0,,,
429,2,39.0,6.0,12.0,,19.0,,8.0,4.0,2.0,
377,2,22.0,4.0,11.0,,6.0,1.0,5.0,3.0,2.0,
71,2,19.0,5.0,3.0,1.0,5.0,,11.0,,,
7,2,11.0,3.0,2.0,,3.0,,6.0,1.0,,
271,2,30.0,6.0,7.0,2.0,12.0,,11.0,,8.0,
176,2,4.0,1.0,2.0,,2.0,,,,,
768,2,41.0,4.0,15.0,4.0,21.0,,5.0,4.0,3.0,
540,2,5.0,0.0,2.0,,2.0,,1.0,,,
792,2,1.0,0.0,,,1.0,,,,,
554,2,10.0,3.0,1.0,,6.0,,3.0,,,
680,2,40.0,12.0,13.0,2.0,13.0,,14.0,,1.0,
23,2,33.0,8.0,14.0,7.0,5.0,,14.0,1.0,,
211,2,15.0,2.0,8.0,1.0,6.0,,1.0,2.0,4.0,
771,2,30.0,2.0,12.0,6.0,15.0,,3.0,3.0,4.0,1.0
143,2,40.0,13.0,14.0,11.0,12.0,,14.0,2.0,6.0,
86,2,28.0,10.0,7.0,6.0,6.0,,15.0,2.0,7.0,
303,2,9.0,0.0,2.0,1.0,5.0,,2.0,,,
666,2,5.0,0.0,,,3.0,,2.0,2.0,,
662,2,,,,,,,,,,
231,2,29.0,10.0,10.0,1.0,7.0,1.0,12.0,6.0,1.0,
267,2,11.0,2.0,1.0,2.0,4.0,,6.0,1.0,,
713,2,14.0,5.0,3.0,,2.0,,9.0,1.0,,
823,2,,,,,,,,,,
803,2,42.0,12.0,13.0,13.0,16.0,,13.0,3.0,4.0,
744,2,22.0,7.0,8.0,,9.0,,5.0,1.0,1.0,
102,2,6.0,1.0,3.0,,2.0,,1.0,,,
380,2,32.0,7.0,14.0,2.0,8.0,,10.0,4.0,,
817,2,6.0,1.0,3.0,1.0,2.0,,1.0,,,
601,2,,,,,,,,,,
110,2,36.0,10.0,8.0,,15.0,,13.0,1.0,4.0,
766,2,32.0,4.0,11.0,1.0,18.0,,3.0,4.0,1.0,
253,2,31.0,5.0,6.0,1.0,13.0,,12.0,1.0,3.0,
313,2,,,,,,,,,,
717,2,7.0,1.0,3.0,,2.0,,2.0,,1.0,
8,2,10.0,4.0,4.0,,1.0,,5.0,1.0,,
436,2,10.0,1.0,2.0,1.0,7.0,,1.0,,1.0,
122,2,33.0,11.0,10.0,,13.0,,10.0,,,
320,2,41.0,17.0,11.0,1.0,4.0,1.0,26.0,2.0,,
202,2,36.0,9.0,14.0,1.0,13.0,,9.0,2.0,1.0,
686,2,,,,,,,,,,
19,2,27.0,10.0,11.0,1.0,3.0,,13.0,1.0,4.0,
734,2,2.0,0.0,,,2.0,,,,,
34,2,,,,,,,,,,
671,2,37.0,8.0,11.0,8.0,14.0,,12.0,2.0,5.0,
48,2,19.0,4.0,5.0,2.0,9.0,,5.0,1.0,2.0,
96,2,5.0,0.0,1.0,1.0,,,4.0,,,
503,2,5.0,0.0,2.0,,2.0,,1.0,,,
747,2,,,,,,,,,,
629,2,,,,,,,,,,
465,2,26.0,3.0,9.0,8.0,10.0,,7.0,2.0,3.0,
587,2,2.0,0.0,1.0,,,,1.0,,,
224,2,,,,,,,,,,
679,2,4.0,1.0,1.0,,2.0,,1.0,,,
820,2,10.0,0.0,3.0,,5.0,,2.0,,,
