id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
300,14,2.0,0.0,,,1.0,1.0,,,,
1344,14,,,,,,,,,,
877,14,27.0,2.0,7.0,1.0,13.0,7.0,,2.0,1.0,1.0
2372,14,,,,,,,,,,
2874,14,1.0,0.0,1.0,,,,,,,
2709,14,,,,,,,,,,
1538,14,27.0,1.0,8.0,3.0,15.0,4.0,1.0,1.0,,
2051,14,11.0,3.0,2.0,,6.0,3.0,,1.0,,
2611,14,31.0,7.0,7.0,,9.0,15.0,3.0,4.0,,
277,14,18.0,1.0,3.0,6.0,3.0,12.0,1.0,1.0,,
2932,14,,,,,,,,,,
2521,14,,,,,,,,,,
1979,14,,,,,,,,,,
1476,14,20.0,6.0,1.0,1.0,8.0,11.0,2.0,2.0,,
2722,14,,,,,,,,,,
1420,14,38.0,16.0,6.0,,13.0,19.0,,,,
2072,14,33.0,20.0,5.0,,5.0,23.0,3.0,2.0,,
2448,14,,,,,,,,,,
2091,14,7.0,1.0,1.0,,5.0,1.0,1.0,2.0,,
991,14,24.0,2.0,4.0,2.0,5.0,15.0,1.0,2.0,,
321,14,25.0,12.0,5.0,,3.0,17.0,,3.0,,
2054,14,34.0,16.0,3.0,5.0,5.0,26.0,1.0,5.0,,1.0
2041,14,30.0,8.0,10.0,,10.0,10.0,2.0,3.0,,1.0
3009,14,32.0,9.0,7.0,,10.0,15.0,,2.0,,
2204,14,1.0,0.0,,,,1.0,,,,
2390,14,15.0,3.0,5.0,2.0,9.0,1.0,2.0,1.0,,
2000,14,,,,,,,,,,
2942,14,,,,,,,,,,
2954,14,,,,,,,,,,
1575,14,32.0,17.0,7.0,10.0,4.0,21.0,5.0,2.0,,1.0
2316,14,15.0,4.0,,2.0,2.0,13.0,,1.0,,
335,14,27.0,7.0,7.0,3.0,3.0,17.0,7.0,2.0,,
851,14,38.0,13.0,7.0,,14.0,17.0,,2.0,,
2443,14,34.0,6.0,10.0,9.0,11.0,13.0,4.0,4.0,,
2164,14,2.0,0.0,,,2.0,,,,,
2920,14,,,,,,,,,,
2465,14,,,,,,,,,,
2644,14,,,,,,,,,,
1736,14,13.0,2.0,2.0,,7.0,4.0,,,,
2883,14,,,,,,,,,,
2165,14,33.0,11.0,5.0,2.0,9.0,19.0,,4.0,,1.0
2230,14,,,,,,,,,,
2455,14,,,,,,,,,,
2198,14,3.0,0.0,,,3.0,,,,,
1437,14,22.0,2.0,4.0,,15.0,3.0,,6.0,1.0,
2854,14,,,,,,,,,,
1919,14,14.0,2.0,4.0,,8.0,2.0,,3.0,,
1429,14,38.0,8.0,9.0,2.0,22.0,7.0,4.0,2.0,,
2813,14,,,,,,,,,,
1133,14,21.0,4.0,6.0,1.0,11.0,4.0,2.0,1.0,,
2933,14,,,,,,,,,,
2927,14,,,,,,,,,,
2784,14,,,,,,,,,,
1866,14,26.0,3.0,4.0,2.0,3.0,19.0,5.0,2.0,,
1609,14,37.0,3.0,7.0,14.0,14.0,16.0,4.0,5.0,,
2961,14,,,,,,,,,,
1659,14,32.0,10.0,5.0,27.0,9.0,18.0,8.0,2.0,,
1413,14,22.0,0.0,5.0,9.0,9.0,8.0,2.0,4.0,,
2431,14,,,,,,,,,,
2087,14,,,,,,,,,,
848,14,16.0,1.0,5.0,1.0,8.0,3.0,2.0,1.0,,
2744,14,,,,,,,,,,
1791,14,27.0,2.0,3.0,8.0,12.0,12.0,2.0,4.0,1.0,
908,14,34.0,7.0,10.0,4.0,16.0,8.0,4.0,3.0,,1.0
1595,14,17.0,3.0,5.0,,2.0,10.0,1.0,1.0,,
709,14,,,,,,,,,,
2010,14,,,,,,,,,,
2944,14,,,,,,,,,,
2736,14,4.0,1.0,1.0,,,3.0,,,,
1335,14,26.0,5.0,4.0,,12.0,10.0,,8.0,,
1080,14,16.0,4.0,3.0,,5.0,8.0,,,,
1881,14,29.0,11.0,6.0,,10.0,13.0,,8.0,,
2838,14,25.0,1.0,4.0,3.0,8.0,13.0,,,,
3040,14,,,,,,,,,,
2651,14,34.0,17.0,4.0,,3.0,27.0,,1.0,,
1723,14,,,,,,,,,,
2977,14,,,,,,,,,,
2949,14,14.0,5.0,3.0,1.0,6.0,5.0,1.0,4.0,,
2936,14,,,,,,,,,,
2799,14,,,,,,,,,,
2284,14,,,,,,,,,,
2917,14,,,,,,,,,,
