id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,attempts_conceded_ibox,game_started,goals_conceded,goals_conceded_ibox,goal_assist_openplay,mins_played,ontarget_att_assist,open_play_pass,poss_lost_all,poss_lost_ctrl,times_tackled,total_att_assist,total_pass,touches,winning_goal,own_goals,attempts_ibox,att_bx_centre,att_ibox_goal,att_lf_goal,att_lf_total,att_openplay,goals_openplay,ontarget_scoring_att,total_scoring_att,att_rf_goal,att_rf_total,total_sub_on,accurate_pass,successful_open_play_pass,total_sub_off
528,1,30.0,6.0,6.0,1.0,14.0,10.0,,2.0,,2.0,1.0,2.0,2.0,,90.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
84,1,24.0,10.0,4.0,1.0,7.0,13.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1,41.0,11.0,16.0,7.0,13.0,12.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,1,41.0,11.0,10.0,15.0,17.0,14.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1,2.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1,24.0,10.0,5.0,1.0,8.0,11.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,1,17.0,4.0,7.0,3.0,5.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,1,7.0,2.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,1,36.0,8.0,7.0,11.0,17.0,12.0,8.0,5.0,,2.0,1.0,2.0,2.0,,90.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
410,1,23.0,5.0,6.0,1.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1,42.0,12.0,12.0,7.0,16.0,14.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,29.0,11.0,7.0,,10.0,12.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
