id,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
1717,12,33.0,6.0,6.0,9.0,18.0,2.0,,1.0,1.0,
2576,12,7.0,1.0,3.0,2.0,2.0,,,2.0,,
1711,12,20.0,0.0,5.0,6.0,9.0,3.0,1.0,1.0,,
406,12,32.0,5.0,8.0,13.0,11.0,2.0,5.0,2.0,,1.0
583,12,4.0,3.0,,1.0,3.0,,,,,
1178,12,5.0,0.0,,5.0,,,1.0,,,
2495,12,,,,,,,,,,
2498,12,,,,,,,,,,
1887,12,4.0,0.0,,3.0,1.0,1.0,,,,
2326,12,,,,,,,,,,
2001,12,,,,,,,,,,
1751,12,38.0,12.0,11.0,12.0,15.0,,,1.0,,
2461,12,,,,,,,,,,
2322,12,,,,,,,,,,
1950,12,,,,,,,,,,
2184,12,27.0,6.0,9.0,8.0,10.0,,,4.0,,
1941,12,,,,,,,,,,
2419,12,,,,,,,,,,
2293,12,,,,,,,,,,
2499,12,,,,,,,,,,
2550,12,3.0,0.0,,2.0,1.0,2.0,,,,
34,12,21.0,4.0,7.0,10.0,4.0,,,,,
2133,12,22.0,1.0,5.0,11.0,6.0,5.0,,1.0,,
958,12,7.0,4.0,3.0,1.0,3.0,,1.0,2.0,,
1664,12,28.0,6.0,11.0,7.0,10.0,1.0,,2.0,1.0,2.0
1250,12,,,,,,,,,,
2278,12,5.0,0.0,2.0,2.0,1.0,,,1.0,,
2540,12,12.0,2.0,3.0,4.0,5.0,,,1.0,,
96,12,13.0,5.0,5.0,4.0,4.0,,,,,
1623,12,14.0,1.0,3.0,7.0,4.0,2.0,1.0,,,
1208,12,29.0,9.0,9.0,7.0,13.0,16.0,3.0,,,
1518,12,31.0,7.0,8.0,7.0,16.0,3.0,2.0,8.0,,1.0
1495,12,36.0,1.0,8.0,20.0,8.0,2.0,6.0,5.0,,
769,12,,,,,,,,,,
1300,12,4.0,0.0,1.0,,3.0,,1.0,1.0,,
2200,12,,,,,,,,,,
2467,12,9.0,0.0,3.0,3.0,3.0,,,,,
1014,12,9.0,1.0,2.0,6.0,1.0,,,1.0,1.0,
2231,12,,,,,,,,,,
2509,12,32.0,6.0,11.0,12.0,9.0,3.0,5.0,6.0,1.0,
921,12,31.0,9.0,5.0,7.0,19.0,,2.0,5.0,,
1433,12,21.0,2.0,7.0,9.0,5.0,,,1.0,,
1859,12,,,,,,,,,,
1242,12,34.0,13.0,12.0,10.0,12.0,,,,,2.0
1768,12,34.0,3.0,10.0,14.0,10.0,12.0,3.0,2.0,,1.0
1033,12,37.0,10.0,11.0,14.0,12.0,,2.0,3.0,,
891,12,,,,,,,,,,
2443,12,31.0,3.0,7.0,11.0,13.0,2.0,3.0,4.0,,
2330,12,,,,,,,,,,
2238,12,,,,,,,,,,
2554,12,6.0,0.0,2.0,2.0,2.0,,,1.0,,
2167,12,2.0,0.0,1.0,,1.0,,,,,
495,12,,,,,,,,,,
2008,12,1.0,0.0,1.0,,,,,,,
1355,12,20.0,2.0,4.0,7.0,9.0,3.0,1.0,1.0,,
1168,12,16.0,1.0,5.0,6.0,5.0,,1.0,1.0,,
2471,12,1.0,0.0,,1.0,,,,,,
1092,12,21.0,2.0,8.0,6.0,7.0,1.0,,5.0,,
2181,12,9.0,4.0,5.0,1.0,3.0,,,,,1.0
2551,12,,,,,,,,,,
2515,12,,,,,,,,,,
1429,12,25.0,5.0,6.0,10.0,9.0,1.0,,5.0,,
2209,12,35.0,8.0,9.0,13.0,13.0,,4.0,4.0,,
2545,12,,,,,,,,,,
2605,12,,,,,,,,,,
886,12,14.0,1.0,5.0,6.0,3.0,,,2.0,,
1954,12,,,,,,,,,,
2073,12,,,,,,,,,,
2066,12,34.0,2.0,9.0,16.0,9.0,8.0,4.0,2.0,,
19,12,25.0,5.0,7.0,,18.0,,,7.0,,
1607,12,27.0,4.0,7.0,11.0,9.0,1.0,2.0,4.0,,1.0
2475,12,12.0,0.0,,11.0,1.0,,,3.0,,
2138,12,23.0,2.0,7.0,9.0,7.0,1.0,1.0,,,
1259,12,33.0,5.0,11.0,16.0,6.0,5.0,3.0,10.0,,1.0
2273,12,,,,,,,,,,
2418,12,,,,,,,,,,
1922,12,,,,,,,,,,
1948,12,13.0,2.0,3.0,7.0,3.0,,,1.0,,
2438,12,,,,,,,,,,
2258,12,4.0,0.0,2.0,2.0,,,,,,
2048,12,33.0,2.0,10.0,10.0,13.0,7.0,,2.0,,
2305,12,,,,,,,,,,
2110,12,28.0,9.0,5.0,9.0,14.0,,4.0,,,
1096,12,16.0,5.0,6.0,5.0,5.0,1.0,2.0,1.0,,
2596,12,,,,,,,,,,
1600,12,8.0,1.0,2.0,6.0,,,,,,1.0
2464,12,,,,,,,,,,
1928,12,,,,,,,,,,
2578,12,,,,,,,,,,
2216,12,,,,,,,,,,
2104,12,13.0,3.0,6.0,5.0,2.0,,,2.0,,
587,12,29.0,7.0,7.0,10.0,12.0,1.0,,6.0,,
2599,12,,,,,,,,,,
2010,12,,,,,,,,,,
2444,12,,,,,,,,,,
2244,12,,,,,,,,,,
1835,12,36.0,4.0,10.0,,26.0,14.0,8.0,,,
2447,12,1.0,0.0,,1.0,,,,,,
2013,12,11.0,1.0,3.0,3.0,5.0,,,,,
1695,12,17.0,4.0,3.0,8.0,6.0,,,2.0,,
2126,12,35.0,2.0,16.0,8.0,11.0,6.0,6.0,1.0,,1.0
2453,12,,,,,,,,,,
2487,12,,,,,,,,,,
1426,12,27.0,5.0,7.0,12.0,8.0,,,3.0,,
2435,12,16.0,0.0,3.0,11.0,2.0,,,1.0,,1.0
2196,12,3.0,0.0,1.0,,2.0,,,,,
2506,12,,,,,,,,,,
1898,12,38.0,10.0,11.0,13.0,14.0,6.0,1.0,,,
2142,12,,,,,,,,,,
2225,12,,,,,,,,,,
2568,12,19.0,0.0,2.0,12.0,5.0,1.0,1.0,1.0,,
1371,12,33.0,10.0,11.0,10.0,12.0,2.0,1.0,3.0,,
2074,12,,,,,,,,,,
2541,12,21.0,4.0,5.0,8.0,8.0,,,,,
2325,12,16.0,0.0,5.0,6.0,5.0,,1.0,2.0,,
2053,12,16.0,4.0,4.0,3.0,9.0,,,6.0,,1.0
2570,12,,,,,,,,,,
848,12,32.0,1.0,9.0,12.0,11.0,2.0,3.0,10.0,,
2410,12,,,,,,,,,,
453,12,13.0,3.0,3.0,7.0,3.0,,,1.0,,
2569,12,,,,,,,,,,
252,12,17.0,3.0,7.0,6.0,4.0,,,,,
2120,12,31.0,12.0,8.0,11.0,12.0,,1.0,3.0,1.0,
1277,12,16.0,0.0,5.0,9.0,2.0,4.0,,1.0,,
1659,12,37.0,15.0,11.0,,26.0,30.0,6.0,3.0,,
2307,12,,,,,,,,,,
1282,12,29.0,7.0,12.0,12.0,5.0,1.0,1.0,8.0,2.0,
1840,12,32.0,4.0,8.0,10.0,14.0,3.0,6.0,4.0,,
2127,12,31.0,9.0,14.0,7.0,10.0,2.0,2.0,3.0,,
1210,12,23.0,4.0,7.0,8.0,8.0,1.0,,3.0,,
2530,12,,,,,,,,,,
9436,12,,,,,,,,,,
1715,12,,,,,,,,,,
1455,12,26.0,8.0,8.0,11.0,7.0,,,,,
2532,12,,,,,,,,,,
1080,12,30.0,6.0,8.0,11.0,11.0,,,1.0,,
262,12,17.0,2.0,3.0,10.0,4.0,1.0,,7.0,,
1905,12,,,,,,,,,,
2163,12,1.0,0.0,,,1.0,,,,,
1748,12,23.0,4.0,4.0,12.0,7.0,,1.0,3.0,,
1072,12,31.0,5.0,8.0,13.0,10.0,8.0,2.0,2.0,,
